text,binary,multiclass
#USER# #USER# #USER# #USER# You expect a man that literally refers to himself as a god and is a blatantly obvious narcissist to be.. humble?💀,Not Hope,Not Hope
"#USER# #USER# #USER# #USER# Tinubu is actually a bonus. Lols 

His only hope right now is rigging..",Not Hope,Not Hope
it'd be nice if missguided actually had stock for once������������,Hope,Sarcasm
#USER# Anyway love u bubbly i know i can count on you when its about fairy tail😌🤚,Hope,Generalized Hope
“you have a lot of people rooting for you whether you believe it or not shouldn’t want to let them down” lmao i will cry please b quiet,Not Hope,Not Hope
Hoping to get on the brown a lot more after I move to the part of the city with a lot of bars,Not Hope,Not Hope
"#USER# no exactly :/ and like i’ve seen (non gvfx) people say (after today’s photos) omg you all need to move on from the hobicore aesthetic🙄🙄and??? FIRST OF ALL it’s been 2 seconds you can’t expect us to have changed everything already???? second of all, people are forgetting that +",Not Hope,Not Hope
#USER# You have lost because your so called culture is backward never progressed Protestant working class don’t aspire thru education catholic working class burst the glass ceiling every year whilst the working class Protestants stand still,Not Hope,Not Hope
"#USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# Hi!😊 I’m hoping to #clearthelist of these items for my 1st graders. The 🎧 are on sale + coupon, so I’m really hoping! Grip-friendly scissors, scoop seats for a book nook, &amp; wireless clicker so I move around my class during a lesson. Anything helps! #URL# #URL#",Hope,Realistic Hope
"#USER# #USER# My dear Rwandans still remember what happened to them in 1994, so don’t expect to forget so easily and start supporting the same people who participated in the genocide and their sponsors, please understand them, to Rwandans it’s never again, no to the genocedaires.",Not Hope,Not Hope
"Well the club season is over.  
We ended up tied for 44th place out of 130 in the Aspire division at the AAU National Championships.  I had a great time!  Played well. 🏐
On to Utica High School volleyball bright and early tomorrow.  Go U! 🙌🏼 #URL#",Hope,Generalized Hope
Find me a mass shooting in Utah where concealed carry on campus is legal.,Not Hope,Sarcasm
"if you should ever leave me, life would go on; believe me. the world could show nothing to me, so what good would living do me? god only knows what i'd be without you.",Not Hope,Not Hope
"I want you jump roping butt booty naked right in front of my face so i can see that booty bounce with maximum efficiency, I'm not gonna lie to you I want that and I need desire that I need that im dreaming about that man give it here!",Hope,Unrealistic Hope
#USER# I have been using 95 from the airport to the Delaware state line for over 20 years and it's always filthy. I could probably count on one hand how many times I have seen Penndot crews on that stretch cleaning up the filth. So that excuse about personel shortages is a bunch of crap,Not Hope,Not Hope
"#USER# #USER# It's pretty rare in comparison but what gets me is people saying ""it's part of the game"" and trying to defend/excuse the violence. Not a good look for the sport.",Not Hope,Not Hope
#USER# #USER# #USER# #USER# #USER# I'm hoping this is not Burger based. If it is I'm going to have to sell everything being a vegan. Then again I don't understand anything about the burger stuff,Hope,Realistic Hope
Yall aspire to be somebody baby mama/girlfriend to gain notoriety and I absolutely hate that for y’all.,Not Hope,Not Hope
i don't really have a good reading comprehension yet i yearn for a shakespeare book yeah let's not go that far,Not Hope,Not Hope
#USER# My body grows hot and aches with desire and anticipation as you slowly go in and out of my hole with ur finger. I turn onto a bitch in heat when we're this close and my body lights up at your touch. I shiver and moan. I rub my face against your crotch as I rub up and down ur legs,Not Hope,Not Hope
"""It's a construct pretty much unique to American medicine."" People pay for health insurance. They're careful to choose an in-network provider. And still patients must shop around and ask specific questions most would never anticipate. Maddening. #URL# via #USER#",Not Hope,Not Hope
"#USER# #USER# #USER# high time motu koitabians get behind a young nationalist who's sole desire is to take back what belong to indigenous motuans, someone adept #USER# organising &amp; motivating the motuan nation to invade all settlements by arms and take back the Land once &amp; for all.",Hope,Unrealistic Hope
"#USER# #USER# #USER# And not expect someone else,  aka the government, to pay for a child you obviously couldn’t afford in the first place.",Not Hope,Not Hope
"#USER# I expect a rough year in 2022 but (assuming Richardson stays and continues to improve) 2023 could be the year. With the hype that Richardson is already receiving, I doubt he’s here for his senior year. Unless we land a big QB it’s hard to say what 2024 will look like.",Not Hope,Not Hope
"#USER# “I have a dress already, I hope you don’t mind-“ she blushed slightly. Her dress was red and had bows on the side. She looked like a true princess. 

“I’m really happy you changed your mind, this is gonna be the best night ever!” #URL#",Hope,Generalized Hope
It’s weird that the guys who claim all government is basically incompetent—especially with respect to healthcare administration—suddenly have boundless faith in the ability of state lawmakers to anticipate and make allowances for every subtlety involved in women’s medicine.,Not Hope,Not Hope
"Today, I put my fave sweater on, hoping that this is my lucky day. Maybe tomorrow I should wear red lipstick! Semangat Papin #USER# Don’t give up!",Hope,Realistic Hope
"I just got gas for 4.89 and was almost happy about it. 

Sorta hoping for another pandemic so I have to stay home.",Hope,Realistic Hope
"#USER# Apecoin erc20 was or is looking for an other network.  
Circle launched Euro stable coin on eth network. 
Xinfin needs to anticipate better on these kinds of opportunities. Get them 0n board. They did not even consider XDC,  because of what?   Marketing is missing!",Not Hope,Not Hope
#USER# #USER# #USER# THEY might be radical…but thing is THEY can’t fight precedence that they set. I think it fine NOT bcuz I’m a Christian but bcuz I’m hopeful it will inadvertently protect the freedoms of my Muslims bros too and every other religion as well.,Hope,Realistic Hope
"Hoping Arteta’s vision for Lisandro Martinez isn’t backline-exclusive. Can see him offering plenty from DM, almost like a Libero. 

Very handy in Partey’s absence, or even as a direct challenger.",Hope,Generalized Hope
"Can't believe I forgot 
Breaking bad
Better call Saul
And the walking dead. 
Guess I figured those were just givens",Not Hope,Not Hope
"#USER# It's only uneducated Indians that buttmunch their colonisers, ain't no way they know their history and still yearn for approval from inbreds",Not Hope,Not Hope
"#USER# #USER#  #USER# I believe this is a Constitutional crisis and something serious needs to be done. There has to be a way to get Justice Thomas off the court or at least censor him. And really, the wife? Should be subpoenaed . #URL#",Not Hope,Not Hope
"#USER# ""hope springs eternal""  💜 It is human nature always to find fresh cause for optimism. Be hopeful ☮️ #URL#",Hope,Generalized Hope
"Singularity reached - expect 77 - whitelisted in for a treat - end of transmission

@MetisDAO #Metis #77",Not Hope,Not Hope
Crawling into #USER# bed for a quick nap...here's hoping the lass doesn't mind too much. 💤,Hope,Generalized Hope
#USER# You're not a bad person at all. Just can't believe you would second guess yourself. 🤗🐕🐾,Not Hope,Not Hope
"Unfortunately, without genuine electoral reform of the type that the Motlanthle led High Level Panel recommended, ""the world we yearn for"" lies not ""in our collective hands"", but in the hand of political party bosses - as Mike Siluma pointed out in yesterday's Sunday Times. #URL#",Hope,Generalized Hope
I hope #USER# will forgive me for calling him a Coward but we rep #USER# in this house hold and will call Claudio as Tio Eddie sees it until they shake hands as very very old men...,Hope,Realistic Hope
#USER# #USER# wow bro i’m disappointed didn’t expect to see such a casual opinion from u,Not Hope,Not Hope
i wish my friends liked me more we could be smoking under this tree rn 😔,Hope,Unrealistic Hope
"to legal concerns. Have your hospitals started making prep for this? Is there a legal team you anticipate needing to work with? 
On one hand it seems like some of the trigger bills have exception clauses - ie if you need to remove an ectopic pregnancy that’s okay- but what does",Not Hope,Not Hope
"#USER# Red flag laws will not be recognized as legitimate and this protest against confiscation will be armed resistance, which is precisely what democrats are hoping for and believe the gun owners will loose the support of the majority.
This is a very dangerous miscalculation.",Hope,Realistic Hope
it's not yedam's fault that he is stealing the spotlight from y'all's so called main producers. yedam/treasure has a bigger fanbase now than your faves and do you expect us to be silent when we see his name on the credits? arent we allowed to feel proud of him?? #URL#,Not Hope,Not Hope
"#USER# #USER# And this is important #USER# as you have previously had a chair role in #USER# 
I’m so hopeful that more leaders of our profession are of your mindset and this will be the change that is needed 
Thank you for your thoughts ❤️
Ping #USER# #USER# #USER#",Hope,Realistic Hope
"I thoroughly enjoyed writing this thread so definitely expect more in the future for you guys(hopefully it was informative/helpful)

If you found this thread helpful, shoot a like/retweet, share the wealth. Love every single one of y'all 💜",Hope,Generalized Hope
"#USER# Always! 
I am good thank you. Last time travelling for work then home for a while, YAY. Hope you are also doing amazing 🎉",Hope,Generalized Hope
"To my entire community: things are scary and angering right now, but you make things feel better and hopeful. You’re all phenomenal and I truly can’t thank you enough. You really make a difference. ✨💕🥃 #URL#",Hope,Generalized Hope
"#USER# #USER# #USER# Best of luck this season Brandon, really hoping you get some game time with us this year!",Hope,Realistic Hope
"Oh, I LOVE semantics games Well, viability now is around 23-25 weeks gestation and really is based on weight more than age. Howeverm the past push towards heroic intervention is now tempered by the rather horrific disabilities and complications seen at the younger age",Not Hope,Sarcasm
"#USER# You do realize that Christians aren't the only ones that pray, right? And you also realize the the Supreme Court decision said ""teachers MAY lead children to prayer"". No one is forcing anyone to pray to whatever God they want to. Their just being given the option.",Not Hope,Not Hope
#USER# now do we anticipate the same nerf for s4 or a different one given more time to work on it 🤔,Not Hope,Not Hope
call me delulu but the fact it says north america on the merch tee’s kinda gives me hope they’ll announce more countries outsides of the states! nonetheless i sincerely hope skz and stays have THE time of their lives in the concerts to come in the next few weeks!,Hope,Realistic Hope
I need a new roof and I’m going insane. I’m hoping for a large tree limb to fall on it #URL# #URL#,Hope,Unrealistic Hope
#USER# I wish I could tell you but I only started IDing as pan again recently and all the discourse around flags has made me just stay away from using any flag cause I never know which is right 😭😭 I'm just floating between pan and just saying gay/queer and being flagless instead,Not Hope,Not Hope
"No I do not think saying inshallah or mashallah is funny, you have no idea what wallah means you're using it incorrectly, L + ratio, it was annoying when boys would say ""allahu akbar"" in the middle of class, and it's still annoying now can we leave that in middle school.",Not Hope,Not Hope
"#USER# #USER# #USER# #USER# #USER# Lmao sensible to forcibly lock people down in a camp, then arrest them if they leave? That’s called authoritarianism. But you know that and clearly yearn for it.",Not Hope,Not Hope
"Watching #USER# #USER# #USER# #BeatShazam and it cut off to a damn commercial on the count down songs on the final?! What the fuck??? We didn't get to see the first or second one they sang!😭
@BeatShazamFOX",Not Hope,Not Hope
"Had the first meeting for my work’s pride book club today and safe to say, I shouldn’t have been so optimistic 🙃

That was an hour of dead naming, questions like, “Do you believe Sarah when she says she’s trans?”, and constant microaggressions 🙃 #URL# #URL#",Not Hope,Not Hope
"#USER# #USER# As a right-winger, that's what I will say: 
Islam is right about women inshallah. #URL#",Not Hope,Not Hope
#USER# Then I hope the ice cream was good! When my sister and mother both got their wisdom teeth out I know they basically just lived on cold things for like a week or 2,Hope,Generalized Hope
#USER# Handsome king of Turkish God bless you and happiness in your life. InShallah God help you all the problems Ameenl,Hope,Generalized Hope
"So your answer to the question then is ""Nothing"", Marc?",Not Hope,Sarcasm
"Event attendees yearn for genuine connections, especially in times like these. That's why at RainFocus, our clients are our top priority at every #event. #USER# discusses how marketers can make stronger connections and why it matters: #URL# #eventsuccess",Not Hope,Not Hope
lasy time i played this story specifically she killed the love interest… hope that doens t happen again um..,Hope,Generalized Hope
"Clearly you don't give a damn, because if you did then you would have to admit that you were wrong. Does this mean that you think the introduction of speed limits is a bad idea? ",Not Hope,Sarcasm
@PONOS_EN Very nice. We're now briefly up to date. Hopefully doesn't take you so long to do the English release of the new pixie after we get 9.10.,Hope,Sarcasm
"#USER# Yes, I do the same too but have resolved myself that I have done all I could. It’s so hard but God gives each one of us free will. Still, I pray.",Hope,Generalized Hope
"So ends the story of Yuki the Snow Witch simp, hopeful the next one will be just as great #URL#",Hope,Generalized Hope
"This motherfucker is so thirsty for the white man's approval.

No matter how far and backwards you go, you will NEVER earn the genuine respect of the degenerate white males you obviously yearn for. You have made yourself a tool to their megalomania, you piece of shit. #URL#",Not Hope,Not Hope
"#USER# Dear Hon. Beshir, i see you as one the best persons we could have in political circle. You shall do better than your Dad, inshaAllah! Pls claim it.",Hope,Generalized Hope
#USER# #USER# #USER# #USER# #USER# it’s twitter i barley be on it and what does my follower count have to do with anything at least im not a grown man who makes flop music in the ghetto while living his life on twitter arguing with teenagers,Not Hope,Not Hope
"#USER# Went on Wikipedia and learned she dropped out after freshman year, does it still count LOL",Not Hope,Not Hope
"#USER# it's really a great news about Matthew Haydon for consultant role  for upcoming 👏 t20 wc.
He deserves and pak also 
His aggression helps to get targets close bit i think 🤔 give him consultant  job til wc 2023 u will see the results inshaAllah  specially  in targets",Hope,Realistic Hope
"#USER# #USER# “The group met on Wednesday night to discuss changes to the law, which governs the way Congress counts and certifies votes from the Electoral College after each presidential election.” (con.) #URL#",Not Hope,Not Hope
"Why cant you drive a tank? Just go buy one surplus, replace the engine, buy some land to drive it on (the treads are real hard on the pavement). The only limiting factor is cost, so go right ahead and enjoy.",Not Hope,Sarcasm
"i want you jump roping butt booty naked oiled up right in my face so i can see that booty bounce with maximum efficiency i'm not gonna lie to you. i want that AND i desire that, i NEEED that i'm DREAMING about that, man! give it here!",Hope,Unrealistic Hope
"#USER# #USER# #USER# #USER# #USER# #USER# #USER# I believe you believe that.

Luckily, that belief of yours is of little consequence.

The unborn have won a massive victory.",Not Hope,Not Hope
Riddle me this: what percentage of people do you suppose are stupid enough to believe that conservatives would invalidate interracial marriages if they could? We could laugh this off but for our awareness that leftist race baiters have actually made this believable to some.,Not Hope,Not Hope
