text,binary,multiclass
🎬Outer Banks🎬 (temporada 3) la verdad que tenia muchas expectativas y me esperaba otra cosa. las escenas con el padre de john b las eliminaba no solo de mi mente si no de la serie y bueno toca seguir esperando a la t4 el triangulo amoroso jj❤️kiara❤️rafe #URL#,Hope,Generalized Hope
-Después del poco éxito en el grupo de la Jet acudí al privado de #USER# mi única esperanza-  📱Ali💅🏼  [MIÉRCOLES 3 DE JUNIO 22:30]      📲 Tía esto no prospera pero da igual. Mañana         cuando acabemos nos vamos tú y yo de fiesta         mano a mano🍻  📲 NO ME FALLES,Hope,Generalized Hope
Bárbara López yo te rezo y te hago un monumento. 🙌🌸💕🌼✨️🌺  Gracias por tan bonita bendición!! @barbara_lopez21 &amp; #USER#   🥂✨️ Por los deseos... 🙏💖🖇 #URL#,Hope,Generalized Hope
RT #USER# #USER# #USER# Ojalá nos ayuden a desenmascarar esta banda criminal,Hope,Realistic Hope
#USER# No tengo las palabras justas. Pero rezo para que el tránsito del duelo te permita la resignación por la pérdida física y que prevalezca su esencia amorosa a través de los recuerdos y acciones.,Hope,Realistic Hope
"Parece que cuando más duermo, me levanto con más sueño",Not Hope,Not Hope
TINI: si tu te vas Quiero Volver: por qué te vas/ consejo de amor/ te quiero más  TINI TINI TINI: casi todo el álbum🧎🏻‍♀️🧎🏻‍♀️🧎🏻‍♀️🧎🏻‍♀️ Cupido: CARNE Y HUESO TE REZO TODOS LOS DIAS BENDITA CREACIÓN #URL#,Hope,Generalized Hope
Acabo de donar otros 100 euros al ejército de #Ucrania.   Mi admiración por cómo han resistido en este primer año de guerra ante un ejército a priori superior. Deseando ver de qué son capaces en este segundo año.  Os comparto el enlace. #SlavaUkaini   https://t.co/V5uKkRRLXN #URL#,Not Hope,Not Hope
Es como si estuviera enseñando historia a un montón de picaportes... Tuvimos una constitución antes de la actual. Se llamaba los Artículos de la Confederación.,Not Hope,Sarcasm
Desearía no haber escuchado need y all of the girls,Not Hope,Not Hope
🧠Descansar lo suficiente es importante para mantener la concentración.   Intenta dormir de siete a nueve horas por noche y habla con tu médico sobre cualquier medicamento que pueda causar problemas de sueño.,Not Hope,Not Hope
Ojalá pudiéramos saber en qué recuerdos nos tiene guardados una persona.,Hope,Unrealistic Hope
#USER# Cómo desearía que mi celular pudiera correr ese pokemon,Hope,Unrealistic Hope
#USER# #USER# No es una critica. Esta perfecto! Ojalá tuviésemos nosotros,Hope,Unrealistic Hope
"Q puedo decir de ti es que yo te adoro mucho corazón, amo que interactuamos y que te expreses tan bonito de mi, de vdd ANHELO EL DÍA EN EL Q TE CONOZCA Y TE ABRACE😭😭😭 para que ya no sea un sueño y si pueda hacerlo, nos tomemos una fotito y vayamos a comer te tqmmm",Hope,Unrealistic Hope
"#USER# Ahora posta che se sabe algo de la Chola? Me dirías donde lees porque yo hace años que pregunto por ella que era amiga y no solo no está acá, tampoco respondió en instagram ni en wap. Era muy querida real, ojalá esté bien.",Hope,Generalized Hope
#USER# #USER# Claro todo el ese supuesto.... que ganamos los 3. Pero me da a mi que eso no va a pasar. Ojalá 7 de 9,Not Hope,Not Hope
"Hay que confiar, pensar en positivo. Y rezar un poco, por si acaso.",Hope,Generalized Hope
Creo que sale más barato ir a cualquier lugar en el extranjero que quedarse en Playa Escondida 🥴,Hope,Realistic Hope
"Y a ti mujer, deja de esperar una felicitación, mientras incentivas el machismo, esperando que él cancele todas las cuentas y te pague todo simplemente porque “él es el hombre”. Empoderate, se independiente y nunca dependas emocional ni económicamente de un hombre.",Not Hope,Not Hope
Eres todo lo que anhelo eres el regalo que callo del cielo 🎵,Hope,Unrealistic Hope
#USER# ahora t voi a dejar esperando 3 días 🖕,Not Hope,Not Hope
rezo pa q este verano nadie me he he en cara que no salga,Hope,Unrealistic Hope
"Un pana me robo 8 diamantes, ya no creo en la amistad",Not Hope,Not Hope
vuelvete a tu agujero a rezar cada día para no morir en un supermercao tiroteada por un tio defendiendo la constitución cerda #URL#,Hope,Unrealistic Hope
"#USER# #USER# Suscribo: #UrgeReformaAlPoderJudicial nosotros, el pueblo la clamamos señor #Presidente #USER#  #NormaPIÑAesRAPIÑA vino a robarse nuestro anhelo de esta #CuartaTransformación   NO PERMITAMOS QUE LA CORRUPCIÓN MARQUE LA AGENDA DEL PAÍS.  Fuera jueces y ministros CORRUPTOS.",Not Hope,Not Hope
"#USER# DIOS si, soy tan feliz de saber que se topo con fans que hayan mostrado hermosas opiniones sobre su obra, encima miralo tan respetuoso, ojala algun dia caiga por aca en algun evento",Hope,Realistic Hope
"En la q sea,  después q sea x el bn d Colombia creo q todos los colombianos honestos tenemos un sueño, y es q #USER# sea el fiscal general. #URL#",Not Hope,Not Hope
Ya viste 👉Espectro radioeléctrico en 2023: ¿qué podemos esperar en América Latina? ➡️ #URL#,Not Hope,Not Hope
"#USER# La pena de muerte estamos esperando para estos asesinos 😡. Por lo menos su familia sabe donde están, en cambio las personas de los miles de desaparecidos jamás tendrán paz en sus hogares",Hope,Unrealistic Hope
"#USER# Creo que no la seguis, ojala nunca te la cruces porque esa tipa esta disfrazada en hobi bias pero es terrible anti de lld chicos, solo y hasta del propio h te diría 😤 gente de la peor calaña",Not Hope,Not Hope
"#USER# Ya podes regalarme mi termo, que estoy esperando hace dos años más o menos jaajjajajaja",Not Hope,Not Hope
"ACABO DE REVENTAR MI CADENA DE ORO Y MI MAMÁ ESTA HABLANDO CON MI PAPÁ BIOLOGICO, QUE LE VOY A DECIR M VAN A PEGAR LA REGAÑADA DEL AÑO",Not Hope,Not Hope
"#USER# Muy bien, hay muchos profesores esperando tener un puesto de trabajo, que los vayan inscribiendo y evaluando para que estén listos para empezar.",Hope,Realistic Hope
"Ayudar a los emprendedores a cumplir su sueño nos hace muy felices. Los STARDAYS se acercan y tú, #emprendedor / #emprendedora todavía no te has apuntado... https://t.co/LoSCDke3pX #URL#",Hope,Generalized Hope
"Rezar por aquel con el que estamos irritados es un hermoso paso en el amor, y es un acto evangelizador. ¡Hagámoslo hoy! ¡No nos dejemos robar el ideal del amor fraterno!",Not Hope,Not Hope
"""Nico - Ride Me Five"" ha terminado su vuelta a África en moto después de 2 años y me siento orgulloso 🥺 le deseo lo mejor a este chaval en el futuro!!",Hope,Generalized Hope
"Diego Pacheco nació en California, pero representó a México en un Mundial Juvenil y ganó medallas de oro en la Olimpiada Nacional. El sábado pelea en Inglaterra y pondrá en juego su invicto. #URL#",Not Hope,Not Hope
"#USER# Creo que es un detalle que no se plantearon muy a fondo cuando lo implementaron, porque fuera del progreso de Nevarro no hay prácticamente nada que te hace decir ""vaya que ha pasado tiempo"".",Not Hope,Not Hope
"Qué precioso el cierre de la segunda parte con esa conversación de Mario y An-chan, parece que habrá una nueva esperanza para el boxeador #URL#",Hope,Generalized Hope
"#USER# Bertrand, las feminazis están deseando encontrarse con una panda de moros",Hope,Unrealistic Hope
"#USER# #USER# Entonces?? Qué es lo que estás debatiendo?? Pq ha dado una opinión y estarías faltando al libertad de expresión. Y creo que lo más importante aquí, son las amenazas por opinar. Pero si ese tema no lo quieres tocar, no veo que más se tiene aquí que debatir la verdad.",Not Hope,Not Hope
"Todos las semanas en este país, vivimos a un ritmo de esperar algo diferente todos los días 😳",Hope,Generalized Hope
#USER# Los medley que ha echo Beyoncé han sido para los vmas. Y aún no son. Así que aún hay esperanza de que haga algo.,Hope,Generalized Hope
"#USER# #USER# #USER# #USER# Ojalá me equivoque, pero sospecho que vamos a ver fraudes de ley a palas.",Hope,Generalized Hope
El deseo una vez saciado se va. Él amor no. Cuanto más lo alimentas. Mas crece. Permanece.,Not Hope,Not Hope
Este está deseando que gane VOX para irse a pagar impuestos a Portugal. #URL#,Hope,Realistic Hope
#USER# La gestión con más sangre derramada en la historia de Rosario. Si se va le hace un favor enorme a la gente. No espere las elecciones intendente. Váyase por la puerta chica y sin hacer ruido.,Not Hope,Not Hope
A rezar para que se me pase pronto la conjuntivitis #URL#,Hope,Realistic Hope
Esperando la lluvia que anunciaron desde anoche (por lo menos se nubló) #URL#,Hope,Generalized Hope
"No es una falacia. Los coches o la religión no son necesidades básicas. Que apaguen el fuego en tu casa o que traten una lesión mortal sí lo son, así que no hay comparación. Está tratando de decir que las necesidades básicas que necesitas para vivir no deberían ser privatizadas, con la obvia excepción de la comida. Las corporaciones no pueden comprar el oxígeno en la atmósfera, ¿verdad? A mí tampoco me gusta que el gobierno maneje las cosas, pero cuando las corporaciones privadas hacen un trabajo peor que el que podría hacer cualquier gobierno, es hora de que el gobierno intervenga.",Not Hope,Sarcasm
"La frase vulgar de hoy: ""Mi sueño es tenerte desnuda frente a mi...mi pesadilla, que no se me pare...""",Not Hope,Not Hope
RT #USER# #USER# Sabias palabras Don Hermann. Ojalá que así sea.,Hope,Generalized Hope
RT #USER# #ElBolson  fuego comenzó en la cascada escondida. Prendieron siete focos. NO CREO Q SEA CASUAL #URL#,Not Hope,Not Hope
"#USER# #USER# Jo, me ha emocionado muchísimo este hilo Estoy deseando tenerlo en mis manos y poder leerlo 🥺🥺🥺💜💜💜 Gracias por contar conmigo para esto, de verdad ✨️💜",Hope,Generalized Hope
"Y tú eres el tipo que no puede molestarse con el álgebra, diciéndoles a los que se han leído todo sobre cálculo que ELLOS no entienden... emoticonXGood",Not Hope,Sarcasm
"
        También, si conociste a Dream en Hypixel... ¡felicidades! No estoy celoso para nada, jaja, estoy completamente normal, jaja. Bien por ti... jaja.",Hope,Sarcasm
"¿Podrías evitar tu constante uso de falacias del hombre de paja, por favor?",Not Hope,Sarcasm
